epoch,train_loss,test_loss
1,0.015282964386790991,0.004126797363162041
2,0.003065637436509132,0.002468285070732236
3,0.0019499149257317186,0.0016873883362859487
4,0.0013410081069916487,0.001188262663781643
5,0.0009396066159009933,0.0008404913423582912
6,0.0006594077046960592,0.0005932731218636036
7,0.0004615502436645329,0.0004175004151184112
8,0.0003222292775288224,0.0002927441743668169
9,0.00022436604350805283,0.00020438146323431284
10,0.0001558326875558123,0.00014244331140071152
11,0.00010812173759331927,9.908645052928477e-05
12,7.500325528089888e-05,6.89194222795777e-05
13,5.204739656765014e-05,4.790643547312356e-05
14,3.611905721772928e-05,3.3242557576159015e-05
15,2.505199607257964e-05,2.3062318621668966e-05
16,1.7353046440985055e-05,1.5957655603415333e-05
17,1.1997978982981294e-05,1.1015746757038869e-05
18,8.275794605287957e-06,7.5981512636644765e-06
19,5.695400807235273e-06,5.23673286443227e-06
20,3.9163413872302045e-06,3.6155503621557726e-06
21,2.7002198126865552e-06,2.517283473935095e-06
22,1.8768431968055666e-06,1.781957676030288e-06
23,1.3274464805363095e-06,1.2975967920283437e-06
24,9.66989671360352e-07,9.810847482185637e-07
25,7.352112767193831e-07,7.828036864339083e-07
26,5.893921455935924e-07,6.603442241157609e-07
27,5.000622091756668e-07,5.861884593514333e-07
28,4.468435391800085e-07,5.434456979855895e-07
29,4.159842705803385e-07,5.18936814216886e-07
30,3.986206941249293e-07,5.063979110104811e-07
31,3.891797908124772e-07,5.002554199222686e-07
32,3.842369460471673e-07,4.964694556974791e-07
33,3.817854418670663e-07,4.947247029463142e-07
34,3.8048718749053023e-07,4.949109228391535e-07
35,3.801776412160507e-07,4.946788706092775e-07
36,3.7999319088726223e-07,4.933732037670779e-07
37,3.8032009058213135e-07,4.940382924019104e-07
38,3.80283713064955e-07,4.93929946173921e-07
39,3.802389122142813e-07,4.932191499165128e-07
40,3.804744461632481e-07,4.936760762461745e-07
41,3.806382151026355e-07,4.938316599805149e-07
42,3.8090472338296875e-07,4.938558302569618e-07
43,3.812679303905497e-07,4.939687818819038e-07
44,3.8169388140119056e-07,4.938687425237732e-07
45,3.8185157399084345e-07,4.93080662124612e-07
46,3.8215661838023604e-07,4.9427294788984e-07
47,3.823466355981964e-07,4.940380151197133e-07
48,3.825319811312511e-07,4.937921580108195e-07
49,3.82771554288297e-07,4.937778214184619e-07
50,3.829393905135703e-07,4.938472923186055e-07
51,3.8344123956619567e-07,4.956853214252987e-07
52,3.8397750410013033e-07,4.95582719054255e-07
53,3.841343493917293e-07,4.968262182956096e-07
54,3.8453347910518686e-07,4.962708799780558e-07
55,3.849040502004186e-07,4.976881822358337e-07
56,3.8556289927385025e-07,4.976809520940151e-07
57,3.857712910857458e-07,4.991284968127729e-07
58,3.8624805884381883e-07,4.994880192725759e-07
59,3.86637202572615e-07,4.999756748702566e-07
60,3.868077153754257e-07,5.011554311522559e-07
61,3.872853648303476e-07,5.007168810493568e-07
62,3.876049839036e-07,5.015950486608744e-07
63,3.878688894019433e-07,5.006001942433613e-07
64,3.8833734414396304e-07,5.008718212593522e-07
65,3.8865955234825834e-07,5.01073483349046e-07
66,3.8880761589581424e-07,5.009449307067371e-07
67,3.8952249009582827e-07,5.012781301729774e-07
68,3.8990863106960206e-07,5.018235466991428e-07
69,3.907404060896624e-07,5.022869871140756e-07
70,3.913319194396081e-07,5.032883343005778e-07
71,3.916806987263044e-07,5.029090616517351e-07
72,3.922200064550907e-07,5.026794698892445e-07
73,3.930550177784653e-07,5.031911944115563e-07
74,3.9375641240440017e-07,5.031931463008732e-07
75,3.9412992635448063e-07,5.039280926553147e-07
76,3.9490712131851067e-07,5.031406485045409e-07
77,3.9567521071717236e-07,5.025042273132385e-07
78,3.962100998847973e-07,5.018106306238223e-07
79,3.9691668818022663e-07,5.021425576501315e-07
80,3.9765823185575756e-07,5.015473454363927e-07
81,3.9872082746796876e-07,4.991570476136076e-07
82,3.995410638196972e-07,4.983943549063952e-07
83,4.003718642337617e-07,4.96889774524334e-07
84,4.015010739237823e-07,4.975975392085274e-07
85,4.025492170825373e-07,4.960904224731166e-07
86,4.0493416682920723e-07,4.949194261030243e-07
87,4.052709889521111e-07,4.952712896511002e-07
88,4.0662842185099635e-07,4.949023914377904e-07
89,4.0790550351061936e-07,4.969406692225675e-07
90,4.091548617765284e-07,4.961414173294543e-07
91,4.1042237769488565e-07,4.974759210654156e-07
92,4.122087747759906e-07,4.994963488229587e-07
93,4.1359061354171446e-07,5.017336748096568e-07
94,4.145144875053575e-07,5.035034788534176e-07
95,4.1626395175171636e-07,5.051264025723867e-07
96,4.180405053944014e-07,5.070783187193228e-07
97,4.188065047571854e-07,5.087840978603708e-07
98,4.2096592164000414e-07,5.09764085165898e-07
99,4.211205777608029e-07,5.122738701857088e-07
100,4.223378830090496e-07,5.144353305013282e-07
101,4.245218903378145e-07,5.140179260934019e-07
102,4.24860408782024e-07,5.151573404873489e-07
103,4.249131306153231e-07,5.161575576266841e-07
104,4.2538799021372143e-07,5.176059971176983e-07
105,4.268823540087396e-07,5.190097230638458e-07
106,4.274707240739417e-07,5.191321338884336e-07
107,4.2827620472394303e-07,5.21102775678628e-07
108,4.288860100814418e-07,5.207189653901878e-07
109,4.291551497317414e-07,5.202057274118487e-07
110,4.288845678075859e-07,5.212607441649197e-07
111,4.2888266551130984e-07,5.21239928104933e-07
112,4.2867487064626176e-07,5.208915999901365e-07
113,4.292328794520017e-07,5.212893416910447e-07
114,4.2874854034096186e-07,5.216082458900928e-07
115,4.279433166402669e-07,5.214896339680308e-07
116,4.284942989301044e-07,5.214497259089512e-07
117,4.2717393169908747e-07,5.192262216269227e-07
118,4.2826196257408354e-07,5.203048791031505e-07
119,4.2794467722728766e-07,5.193264975105194e-07
120,4.2717151318925063e-07,5.195804212689837e-07
